Date;CPI Total;Nahrungsmittel und alkoholfreie Getränke;Nahrungsmittel;Brot, Mehl und Getreideprodukte;Fleisch, Fleischwaren;Milch, Käse, Eier;Früchte, Gemüse, Kartoffeln und Pilze
30.11.1991;83.1825;92.3523;91.9698;94.8676;78.5285;110.827;92.2267
31.12.1991;82.985;91.6148;91.1823;94.8935;78.131;110.1956;89.4926
31.01.1992;83.3753;92.1181;91.7145;95.8153;76.5597;110.731;92.945
29.02.1992;83.9704;92.0307;91.6253;96.561;75.1155;111.0663;93.7498
31.03.1992;84.2157;92.6684;92.2958;96.7574;76.1692;111.1551;95.0455
30.04.1992;84.35;92.6623;92.2878;96.8113;75.6461;111.2489;95.4375
31.05.1992;84.5723;91.7218;91.2504;96.9066;75.4405;111.2603;90.6674
30.06.1992;84.9083;93.1253;92.7507;96.9726;76.2853;111.3319;96.4931
31.07.1992;84.6528;91.6557;91.1952;96.9529;76.218;111.1933;89.1974
31.08.1992;84.8742;90.4203;89.8642;97.0465;76.1231;111.2914;82.8295
30.09.1992;84.9742;90.7608;90.2282;97.0588;76.2167;111.2756;84.4204
31.10.1992;85.0976;90.9345;90.4077;97.1075;76.2972;111.1257;85.4543
30.11.1992;85.9162;91.172;90.689;97.11;76.2214;111.302;86.6687
31.12.1992;85.8238;90.4783;89.9547;97.1708;76.2214;111.2379;83.2025
31.01.1993;86.264;91.4739;91.0062;97.3464;75.9704;111.2854;88.2677
28.02.1993;86.8177;91.5425;91.0907;97.4221;75.6401;111.2869;89.0282
31.03.1993;87.28;92.6014;92.2086;97.5034;75.9636;111.1722;93.9888
30.04.1993;87.5452;92.6786;92.2847;97.4971;76.6238;111.3562;93.0996
31.05.1993;87.5966;91.8483;91.3695;97.5836;76.3002;111.2611;89.2758
30.06.1993;87.5742;91.8061;91.5227;97.5885;76.5253;111.2926;89.6541
31.07.1993;87.5199;91.1873;90.8712;97.7655;76.5742;111.2944;86.5606
31.08.1993;87.9514;91.1436;90.8341;97.8258;76.8416;111.111;86.084
30.09.1993;87.8974;90.614;90.2289;97.7151;77.3451;109.0214;84.824
